"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","5542","5542","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","-512","367","09/22/19 15:12:08","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1015.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","5542","NA","NA","NA","1747151","NA","5542","NA","NA","2","legacy","1024","1","48000","-16","experiment","1015","odd","NA","NA","NA","NA","NA","4341","NA","NA","NA","1751931","NA","NA","NA","NA","1773479","NA","NA","NA","NA","1756933","NA","NA","4774","4345","4770","NA","NA","NA","1767936","NA","1766936","NA","NA","New experiment","0","5542","1","yes","1024"
"Practice","undefined","undefined","4690.5","4690.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","-512","369","09/22/19 15:12:08","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1015.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3839","NA","NA","NA","67072","NA","3839","NA","NA","2","legacy","1024","1","48000","-16","experiment","1015","odd","NA","NA","NA","NA","NA","4341","NA","NA","NA","1845864","NA","NA","NA","NA","1865708","NA","NA","NA","NA","1850866","NA","NA","1778789","4345","1778786","NA","NA","NA","1861868","NA","1860868","1773559","NA","New experiment","0","9381","2","yes","1024"
"Practice","undefined","undefined","4227.66666667","4227.66666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","-511","383","09/22/19 15:12:08","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1015.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3302","NA","NA","NA","8878","NA","3302","NA","NA","2","legacy","1024","1","48000","-16","experiment","1015","odd","NA","NA","NA","NA","NA","4341","NA","NA","NA","1879886","NA","NA","NA","NA","1899191","NA","NA","NA","NA","1884887","NA","NA","1871005","4345","1871003","NA","NA","NA","1895888","NA","1894888","1865775","NA","New experiment","0","12683","3","yes","1024"
"Practice","undefined","undefined","3811.5","3811.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","-36","383","09/22/19 15:12:08","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1015.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2563","NA","NA","NA","14459","NA","2563","NA","NA","2","legacy","1024","1","48000","-16","experiment","1015","odd","NA","NA","NA","NA","NA","4341","NA","NA","NA","1918892","NA","NA","NA","NA","1937458","NA","NA","NA","NA","1923893","NA","NA","1904430","4345","1904428","NA","NA","NA","1934894","NA","1933894","1899223","NA","New experiment","0","15246","4","yes","1024"
"Practice","undefined","undefined","3768.4","3768.4","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","-4","383","09/22/19 15:12:08","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1015.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","3596","NA","NA","31688","14459","3596","2563","NA","NA","2","legacy","1024","1","48000","-16","experiment","1015","odd","1946465","NA","1994391","NA","NA","4341","NA","1978158","NA","1918892","NA","NA","NA","1998988","1937458","NA","NA","NA","1942858","1923893","1983158","1946467","1904430","4345","1904428","NA","NA","1995391","1934894","NA","1933894","1937842","NA","New experiment","0","18842","5","yes","1024"
"Neutral","undefined","undefined","3663.33333333","3663.33333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","15","381","09/22/19 15:12:08","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1015.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","3138","36975","NA","31688","14459","3138","2563","NA","NA","2","legacy","1024","1","48000","-16","experiment","1015","odd","2006876","NA","2109122","NA","NA","4341","NA","2043855","NA","1918892","NA","2006878","NA","2113261","1937458","1999048","NA","2048855","1942858","1923893","1983158","1946467","1904430","4345","1904428","NA","NA","2110122","1934894","NA","1933894","1937842","NA","New experiment","0","21980","6","yes","1024"
"Fear","undefined","undefined","3562.85714286","3562.85714286","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","11","383","09/22/19 15:12:08","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1015.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2960","36975","39693","31688","14459","3138","2563","2960","NA","2","legacy","1024","1","48000","-16","experiment","1015","odd","2006876","2124297","2109122","2308121","2118325","4341","2168999","2043855","2163998","1918892","NA","2006878","2124300","2312083","1937458","2113306","NA","2048855","1942858","1923893","1983158","1946467","1904430","4345","1904428","NA","NA","2110122","1934894","2309122","1933894","1937842","NA","New experiment","0","24940","7","yes","1024"
"Sad","undefined","undefined","3551.5","3551.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","27","382","09/22/19 15:12:08","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1015.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3472","36975","86609","31688","14459","3138","2563","3472","NA","2","legacy","1024","1","48000","-16","experiment","1015","odd","2006876","2323527","2109122","2547362","2118325","4341","2168999","2043855","2410143","1918892","NA","2006878","2323530","2551837","1937458","2113306","2312144","2048855","1942858","1923893","1983158","1946467","1904430","4345","1904428","NA","2415144","2110122","1934894","2548363","1933894","1937842","NA","New experiment","0","28412","8","yes","1024"
"Relaxed","undefined","undefined","3523.55555556","3523.55555556","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","27","381","09/22/19 15:12:08","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1015.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3300","36975","35449","31688","14459","3138","2563","3300","NA","2","legacy","1024","1","48000","-16","experiment","1015","odd","2006876","2563495","2109122","2797174","2118325","4341","2168999","2043855","2598954","1918892","NA","2006878","2563497","2801479","1937458","2113306","2551886","2048855","1942858","1923893","1983158","1946467","1904430","4345","1904428","2603954","2415144","2110122","1934894","2798175","1933894","1937842","NA","New experiment","0","31712","9","yes","1024"
"Happy","undefined","undefined","3475.1","3475.1","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","25","381","09/22/19 15:12:08","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1015.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3039","36975","46101","31688","14459","3138","2563","3039","NA","2","legacy","1024","1","48000","-16","experiment","1015","odd","2006876","2813056","2109122","2984405","2118325","4341","2168999","2043855","2859178","1918892","2864181","2006878","2813059","2988457","1937458","2113306","2801546","2048855","1942858","1923893","1983158","1946467","1904430","4345","1904428","2603954","2415144","2110122","1934894","2985406","1933894","1937842","NA","New experiment","0","34751","10","yes","1024"
