"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","3439","3439","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","16","355","09/24/19 13:30:35","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1023.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3439","NA","NA","NA","906117","NA","3439","NA","NA","2","legacy","1024","1","48000","-16","experiment","1023","odd","NA","NA","NA","NA","NA","4419","NA","NA","NA","911017","NA","NA","NA","NA","930464","NA","NA","NA","NA","916019","NA","NA","4895","4431","4893","NA","NA","NA","927023","NA","926023","NA","NA","New experiment","0","3439","1","yes","1020"
"Practice","undefined","undefined","2962","2962","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","15","357","09/24/19 13:30:35","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1023.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2485","NA","NA","NA","38938","NA","2485","NA","NA","2","legacy","1024","1","48000","-16","experiment","1023","odd","NA","NA","NA","NA","NA","4419","NA","NA","NA","974710","NA","NA","NA","NA","993199","NA","NA","NA","NA","979712","NA","NA","935769","4431","935767","NA","NA","NA","990714","NA","989714","930533","NA","New experiment","0","5924","2","yes","1020"
"Practice","undefined","undefined","2810","2810","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","10","379","09/24/19 13:30:35","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1023.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2506","NA","NA","NA","7879","NA","2506","NA","NA","2","legacy","1024","1","48000","-16","experiment","1023","odd","NA","NA","NA","NA","NA","4419","NA","NA","NA","1006352","NA","NA","NA","NA","1024860","NA","NA","NA","NA","1011353","NA","NA","998471","4431","998469","NA","NA","NA","1022354","NA","1021354","993238","NA","New experiment","0","8430","3","yes","1020"
"Practice","undefined","undefined","2778","2778","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","11","372","09/24/19 13:30:35","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1023.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2682","NA","NA","NA","8809","NA","2682","NA","NA","2","legacy","1024","1","48000","-16","experiment","1023","odd","NA","NA","NA","NA","NA","4419","NA","NA","NA","1038941","NA","NA","NA","NA","1057625","NA","NA","NA","NA","1043942","NA","NA","1030129","4431","1030127","NA","NA","NA","1054943","NA","1053943","1024901","NA","New experiment","0","11112","4","yes","1020"
"Practice","undefined","undefined","2778.6","2778.6","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","11","373","09/24/19 13:30:35","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1023.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","2781","NA","NA","23002","8809","2781","2682","NA","NA","2","legacy","1024","1","48000","-16","experiment","1023","odd","1066280","NA","1105526","NA","NA","4419","NA","1089287","NA","1038941","NA","NA","NA","1109308","1057625","NA","NA","NA","1062677","1043942","1094287","1066282","1030129","4431","1030127","NA","NA","1106526","1054943","NA","1053943","1057661","NA","New experiment","0","13893","5","yes","1020"
"Neutral","undefined","undefined","2741","2741","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","11","373","09/24/19 13:30:35","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1023.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","2553","29738","NA","23002","8809","2553","2682","NA","NA","2","legacy","1024","1","48000","-16","experiment","1023","odd","1117176","NA","1212186","NA","NA","4419","NA","1146918","NA","1038941","NA","1117178","NA","1215740","1057625","1109348","NA","1151919","1062677","1043942","1094287","1066282","1030129","4431","1030127","NA","NA","1213186","1054943","NA","1053943","1057661","NA","New experiment","0","16446","6","yes","1020"
"Relaxed","undefined","undefined","2766.57142857","2766.57142857","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","11","373","09/24/19 13:30:35","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1023.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2920","29738","28955","23002","8809","2553","2682","2920","NA","2","legacy","1024","1","48000","-16","experiment","1023","odd","1117176","1226868","1212186","1454047","1220793","4419","NA","1146918","1255830","1038941","NA","1117178","1226871","1457969","1057625","1215774","NA","1151919","1062677","1043942","1094287","1066282","1030129","4431","1030127","1260831","NA","1213186","1054943","1455047","1053943","1057661","NA","New experiment","0","19366","7","yes","1020"
"Fear","undefined","undefined","2706.125","2706.125","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","12","373","09/24/19 13:30:35","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1023.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2283","29738","55133","23002","8809","2553","2682","2283","NA","2","legacy","1024","1","48000","-16","experiment","1023","odd","1117176","1469559","1212186","1668837","1220793","4419","1529705","1146918","1524704","1038941","NA","1117178","1469563","1672124","1057625","1215774","1458011","1151919","1062677","1043942","1094287","1066282","1030129","4431","1030127","1260831","NA","1213186","1054943","1669839","1053943","1057661","NA","New experiment","0","21649","8","yes","1020"
"Happy","undefined","undefined","2667.55555556","2667.55555556","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","12","373","09/24/19 13:30:35","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1023.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2359","29738","59232","23002","8809","2553","2682","2359","NA","2","legacy","1024","1","48000","-16","experiment","1023","odd","1117176","1684408","1212186","1868868","1220793","4419","1529705","1146918","1743652","1038941","1748654","1117178","1684411","1872232","1057625","1215774","1672171","1151919","1062677","1043942","1094287","1066282","1030129","4431","1030127","1260831","NA","1213186","1054943","1869868","1053943","1057661","NA","New experiment","0","24008","9","yes","1020"
"Sad","undefined","undefined","2644.5","2644.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","12","373","09/24/19 13:30:35","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1023.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2437","29738","68682","23002","8809","2553","2682","2437","NA","2","legacy","1024","1","48000","-16","experiment","1023","odd","1117176","1883920","1212186","2089849","1220793","4419","1529705","1146918","1952625","1038941","1748654","1117178","1883924","2093297","1057625","1215774","1872298","1151919","1062677","1043942","1094287","1066282","1030129","4431","1030127","1260831","1957630","1213186","1054943","2090850","1053943","1057661","NA","New experiment","0","26445","10","yes","1020"
