"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","3780","3780","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","2","0","09/24/19 11:53:37","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1022.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3780","NA","NA","NA","50468","NA","3780","NA","NA","2","legacy","1024","1","48000","-16","experiment","1022","even","NA","NA","NA","NA","NA","4368","NA","NA","NA","55388","NA","NA","NA","NA","75174","NA","NA","NA","NA","60391","NA","NA","4917","4378","4914","NA","NA","NA","71393","NA","70393","NA","NA","New experiment","0","3780","1","yes","1020"
"Practice","undefined","undefined","3280","3280","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","1","0","09/24/19 11:53:37","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1022.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2780","NA","NA","NA","31353","NA","2780","NA","NA","2","legacy","1024","1","48000","-16","experiment","1022","even","NA","NA","NA","NA","NA","4368","NA","NA","NA","111811","NA","NA","NA","NA","130593","NA","NA","NA","NA","116812","NA","NA","80456","4378","80454","NA","NA","NA","127813","NA","126813","75230","NA","New experiment","0","6560","2","yes","1020"
"Practice","undefined","undefined","2901.66666667","2901.66666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","1","0","09/24/19 11:53:37","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1022.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2145","NA","NA","NA","7737","NA","2145","NA","NA","2","legacy","1024","1","48000","-16","experiment","1022","even","NA","NA","NA","NA","NA","4368","NA","NA","NA","143627","NA","NA","NA","NA","161777","NA","NA","NA","NA","148630","NA","NA","135888","4378","135886","NA","NA","NA","159632","NA","158632","130659","NA","New experiment","0","8705","3","yes","1020"
"Practice","undefined","undefined","2683.75","2683.75","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","1","0","09/24/19 11:53:37","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1022.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2030","NA","NA","NA","9241","NA","2030","NA","NA","2","legacy","1024","1","48000","-16","experiment","1022","even","NA","NA","NA","NA","NA","4368","NA","NA","NA","176279","NA","NA","NA","NA","194312","NA","NA","NA","NA","181281","NA","NA","167036","4378","167034","NA","NA","NA","192282","NA","191282","161832","NA","New experiment","0","10735","4","yes","1020"
"Practice","undefined","undefined","2702.4","2702.4","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","1","0","09/24/19 11:53:37","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1022.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","2777","NA","NA","26544","9241","2777","2030","NA","NA","2","legacy","1024","1","48000","-16","experiment","1022","even","202997","NA","245774","NA","NA","4368","NA","229545","NA","176279","NA","NA","NA","249552","194312","NA","NA","NA","199377","181281","234546","202999","167036","4378","167034","NA","NA","246774","192282","NA","191282","194360","NA","New experiment","0","13512","5","yes","1020"
"Neutral","undefined","undefined","2680.66666667","2680.66666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","1","0","09/24/19 11:53:37","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1022.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","2572","35453","NA","26544","9241","2572","2030","NA","NA","2","legacy","1024","1","48000","-16","experiment","1022","even","257427","NA","358146","NA","NA","4368","NA","292886","NA","176279","NA","257430","NA","361719","194312","249586","NA","297886","199377","181281","234546","202999","167036","4378","167034","NA","NA","359146","192282","NA","191282","194360","NA","New experiment","0","16084","6","yes","1020"
"Sad","undefined","undefined","2690.28571429","2690.28571429","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","-1","2","09/24/19 11:53:37","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1022.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2748","35453","30594","26544","9241","2572","2030","2748","NA","2","legacy","1024","1","48000","-16","experiment","1022","even","257427","372866","358146","540686","366809","4368","NA","292886","403467","176279","NA","257430","372869","544436","194312","361791","NA","297886","199377","181281","234546","202999","167036","4378","167034","NA","408468","359146","192282","541686","191282","194360","NA","New experiment","0","18832","7","yes","1020"
"Relaxed","undefined","undefined","2649.75","2649.75","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","-1","3","09/24/19 11:53:37","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1022.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2366","35453","50211","26544","9241","2572","2030","2366","NA","2","legacy","1024","1","48000","-16","experiment","1022","even","257427","555906","358146","804348","366809","4368","NA","292886","606129","176279","NA","257430","555910","807719","194312","361791","544509","297886","199377","181281","234546","202999","167036","4378","167034","611130","408468","359146","192282","805349","191282","194360","NA","New experiment","0","21198","8","yes","1020"
"Happy","undefined","undefined","2607.44444444","2607.44444444","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","-1","3","09/24/19 11:53:37","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1022.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2269","35453","95910","26544","9241","2572","2030","2269","NA","2","legacy","1024","1","48000","-16","experiment","1022","even","257427","819426","358146","1040589","366809","4368","NA","292886","915357","176279","920360","257430","819429","1043873","194312","361791","807805","297886","199377","181281","234546","202999","167036","4378","167034","611130","408468","359146","192282","1041593","191282","194360","NA","New experiment","0","23467","9","yes","1020"
"Fear","undefined","undefined","2578.8","2578.8","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","-1","3","09/24/19 11:53:37","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1022.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2321","35453","52402","26544","9241","2572","2030","2321","NA","2","legacy","1024","1","48000","-16","experiment","1022","even","257427","1055728","358146","1252270","366809","4368","1113143","292886","1108142","176279","920360","257430","1055730","1255606","194312","361791","1044032","297886","199377","181281","234546","202999","167036","4378","167034","611130","408468","359146","192282","1253272","191282","194360","NA","New experiment","0","25788","10","yes","1020"
