"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","3498","3498","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","502","327","09/26/19 09:37:22","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1028.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3498","NA","NA","NA","6575493","NA","3498","NA","NA","2","legacy","1024","1","48000","-16","experiment","1028","even","NA","NA","NA","NA","NA","6006","NA","NA","NA","6582231","NA","NA","NA","NA","6601735","NA","NA","NA","NA","6587234","NA","NA","6733","6016","6731","NA","NA","NA","6598236","NA","6597236","NA","NA","New experiment","0","3498","1","yes","1024"
"Practice","undefined","undefined","2867","2867","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","511","325","09/26/19 09:37:22","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1028.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2236","NA","NA","NA","22018","NA","2236","NA","NA","2","legacy","1024","1","48000","-16","experiment","1028","even","NA","NA","NA","NA","NA","6006","NA","NA","NA","6629038","NA","NA","NA","NA","6647278","NA","NA","NA","NA","6634039","NA","NA","6607018","6016","6607016","NA","NA","NA","6645041","NA","6644041","6601789","NA","New experiment","0","5734","2","yes","1024"
"Practice","undefined","undefined","2696.66666667","2696.66666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","511","325","09/26/19 09:37:22","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1028.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2356","NA","NA","NA","6824","NA","2356","NA","NA","2","legacy","1024","1","48000","-16","experiment","1028","even","NA","NA","NA","NA","NA","6006","NA","NA","NA","6659375","NA","NA","NA","NA","6677733","NA","NA","NA","NA","6664376","NA","NA","6652549","6016","6652547","NA","NA","NA","6675377","NA","6674377","6647319","NA","New experiment","0","8090","3","yes","1024"
"Practice","undefined","undefined","2623.75","2623.75","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","510","341","09/26/19 09:37:22","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1028.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2405","NA","NA","NA","7902","NA","2405","NA","NA","2","legacy","1024","1","48000","-16","experiment","1028","even","NA","NA","NA","NA","NA","6006","NA","NA","NA","6691525","NA","NA","NA","NA","6709933","NA","NA","NA","NA","6696526","NA","NA","6683621","6016","6683619","NA","NA","NA","6707528","NA","6706528","6678393","NA","New experiment","0","10495","4","yes","1024"
"Practice","undefined","undefined","2627.2","2627.2","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","510","341","09/26/19 09:37:22","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1028.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","2641","NA","NA","27652","7902","2641","2405","NA","NA","2","legacy","1024","1","48000","-16","experiment","1028","even","6718890","NA","6762780","NA","NA","6006","NA","6746547","NA","6691525","NA","NA","NA","6766422","6709933","NA","NA","NA","6714983","6696526","6751547","6718892","6683621","6016","6683619","NA","NA","6763780","6707528","NA","6706528","6709966","NA","New experiment","0","13136","5","yes","1024"
"Neutral","undefined","undefined","2642.83333333","2642.83333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","456","371","09/26/19 09:37:22","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1028.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","2721","28122","NA","27652","7902","2721","2405","NA","NA","2","legacy","1024","1","48000","-16","experiment","1028","even","6774320","NA","6867711","NA","NA","6006","NA","6802447","NA","6691525","NA","6774322","NA","6871433","6709933","6766457","NA","6807447","6714983","6696526","6751547","6718892","6683621","6016","6683619","NA","NA","6868711","6707528","NA","6706528","6709966","NA","New experiment","0","15857","6","yes","1024"
"Sad","undefined","undefined","2706.14285714","2706.14285714","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","459","369","09/26/19 09:37:22","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1028.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3086","28122","39291","27652","7902","2721","2405","3086","NA","2","legacy","1024","1","48000","-16","experiment","1028","even","6774320","6882838","6867711","7059392","6876489","6006","NA","6802447","6922137","6691525","NA","6774322","6882841","7063480","6709933","6871463","NA","6807447","6714983","6696526","6751547","6718892","6683621","6016","6683619","NA","6927138","6868711","6707528","7060392","6706528","6709966","NA","New experiment","0","18943","7","yes","1024"
"Fear","undefined","undefined","2691","2691","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","459","369","09/26/19 09:37:22","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1028.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2585","28122","63067","27652","7902","2721","2405","2585","NA","2","legacy","1024","1","48000","-16","experiment","1028","even","6774320","7075544","6867711","7282752","6876489","6006","7143623","6802447","7138623","6691525","NA","6774322","7075547","7286339","6709933","6871463","7063522","6807447","6714983","6696526","6751547","6718892","6683621","6016","6683619","NA","6927138","6868711","6707528","7283753","6706528","6709966","NA","New experiment","0","21528","8","yes","1024"
"Happy","undefined","undefined","2699.22222222","2699.22222222","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","459","369","09/26/19 09:37:22","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1028.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2765","28122","73609","27652","7902","2721","2405","2765","NA","2","legacy","1024","1","48000","-16","experiment","1028","even","6774320","7297693","6867711","7496532","6876489","6006","7143623","6802447","7371312","6691525","7376314","6774322","7297695","7500303","6709933","6871463","7286378","6807447","6714983","6696526","6751547","6718892","6683621","6016","6683619","NA","6927138","6868711","6707528","7497533","6706528","6709966","NA","New experiment","0","24293","9","yes","1024"
"Relaxed","undefined","undefined","2689.4","2689.4","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","459","368","09/26/19 09:37:22","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1028.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2601","28122","45472","27652","7902","2721","2405","2601","NA","2","legacy","1024","1","48000","-16","experiment","1028","even","6774320","7512150","6867711","7755864","6876489","6006","7143623","6802447","7557643","6691525","7376314","6774322","7512154","7759476","6709933","6871463","7500405","6807447","6714983","6696526","6751547","6718892","6683621","6016","6683619","7562647","6927138","6868711","6707528","7756865","6706528","6709966","NA","New experiment","0","26894","10","yes","1024"
