"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","4531","4531","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","148","-200","09/23/19 10:39:53","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1017.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","4531","NA","NA","NA","3039195","NA","4531","NA","NA","2","legacy","1024","1","48000","-16","experiment","1017","odd","NA","NA","NA","NA","NA","4231","NA","NA","NA","3043848","NA","NA","NA","NA","3064385","NA","NA","NA","NA","3048850","NA","NA","4648","4238","4645","NA","NA","NA","3059853","NA","3058853","NA","NA","New experiment","0","4531","1","yes","1020"
"Practice","undefined","undefined","4032.5","4032.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","-413","-359","09/23/19 10:39:53","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1017.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3534","NA","NA","NA","52240","NA","3534","NA","NA","2","legacy","1024","1","48000","-16","experiment","1017","odd","NA","NA","NA","NA","NA","4231","NA","NA","NA","3121966","NA","NA","NA","NA","3141504","NA","NA","NA","NA","3126968","NA","NA","3069724","4238","3069722","NA","NA","NA","3137969","NA","3136969","3064448","NA","New experiment","0","8065","2","yes","1020"
"Practice","undefined","undefined","3582.33333333","3582.33333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","-360","-284","09/23/19 10:39:53","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1017.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2682","NA","NA","NA","41665","NA","2682","NA","NA","2","legacy","1024","1","48000","-16","experiment","1017","odd","NA","NA","NA","NA","NA","4231","NA","NA","NA","3188427","NA","NA","NA","NA","3207112","NA","NA","NA","NA","3193429","NA","NA","3146760","4238","3146758","NA","NA","NA","3204430","NA","3203430","3141529","NA","New experiment","0","10747","3","yes","1020"
"Practice","undefined","undefined","3365.75","3365.75","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","-349","-244","09/23/19 10:39:53","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1017.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2716","NA","NA","NA","10471","NA","2716","NA","NA","2","legacy","1024","1","48000","-16","experiment","1017","odd","NA","NA","NA","NA","NA","4231","NA","NA","NA","3223176","NA","NA","NA","NA","3241896","NA","NA","NA","NA","3228177","NA","NA","3212702","4238","3212700","NA","NA","NA","3239179","NA","3238179","3207472","NA","New experiment","0","13463","4","yes","1020"
"Practice","undefined","undefined","3335.6","3335.6","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","-351","-247","09/23/19 10:39:53","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1017.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","3215","NA","NA","25243","10471","3215","2716","NA","NA","2","legacy","1024","1","48000","-16","experiment","1017","odd","3251312","NA","3292789","NA","NA","4231","NA","3276560","NA","3223176","NA","NA","NA","3297005","3241896","NA","NA","NA","3247013","3228177","3281560","3251315","3212702","4238","3212700","NA","NA","3293789","3239179","NA","3238179","3241997","NA","New experiment","0","16678","5","yes","1020"
"Neutral","undefined","undefined","3264.16666667","3264.16666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","-356","-250","09/23/19 10:39:53","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1017.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","2907","25448","NA","25243","10471","2907","2716","NA","NA","2","legacy","1024","1","48000","-16","experiment","1017","odd","3304892","NA","3395612","NA","NA","4231","NA","3330344","NA","3223176","NA","3304894","NA","3399519","3241896","3297034","NA","3335345","3247013","3228177","3281560","3251315","3212702","4238","3212700","NA","NA","3396612","3239179","NA","3238179","3241997","NA","New experiment","0","19585","6","yes","1020"
"Fear","undefined","undefined","3225.14285714","3225.14285714","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","-331","-258","09/23/19 10:39:53","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1017.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2991","25448","61510","25243","10471","2907","2716","2991","NA","2","legacy","1024","1","48000","-16","experiment","1017","odd","3304892","3410606","3395612","3616242","3404576","4231","3477122","3330344","3472122","3223176","NA","3304894","3410608","3620234","3241896","3399558","NA","3335345","3247013","3228177","3281560","3251315","3212702","4238","3212700","NA","NA","3396612","3239179","3617242","3238179","3241997","NA","New experiment","0","22576","7","yes","1020"
"Happy","undefined","undefined","3214.25","3214.25","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","-331","-258","09/23/19 10:39:53","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1017.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3138","25448","66036","25243","10471","2907","2716","3138","NA","2","legacy","1024","1","48000","-16","experiment","1017","odd","3304892","3631413","3395612","3822725","3404576","4231","3477122","3330344","3697459","3223176","3702459","3304894","3631416","3826865","3241896","3399558","3620275","3335345","3247013","3228177","3281560","3251315","3212702","4238","3212700","NA","NA","3396612","3239179","3823725","3238179","3241997","NA","New experiment","0","25714","8","yes","1020"
"Relaxed","undefined","undefined","3133.44444444","3133.44444444","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","-337","-239","09/23/19 10:39:53","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1017.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2487","25448","126278","25243","10471","2907","2716","2487","NA","2","legacy","1024","1","48000","-16","experiment","1017","odd","3304892","3838575","3395612","4163133","3404576","4231","3477122","3330344","3964863","3223176","3702459","3304894","3838577","4166626","3241896","3399558","3826924","3335345","3247013","3228177","3281560","3251315","3212702","4238","3212700","3969864","NA","3396612","3239179","4164134","3238179","3241997","NA","New experiment","0","28201","9","yes","1020"
"Sad","undefined","undefined","3067.6","3067.6","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","-309","-244","09/23/19 10:39:53","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1017.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2475","25448","49491","25243","10471","2907","2716","2475","NA","2","legacy","1024","1","48000","-16","experiment","1017","odd","3304892","4178493","3395612","4365275","3404576","4231","3477122","3330344","4228005","3223176","3702459","3304894","4178496","4368765","3241896","3399558","4166692","3335345","3247013","3228177","3281560","3251315","3212702","4238","3212700","3969864","4233009","3396612","3239179","4366278","3238179","3241997","NA","New experiment","0","30676","10","yes","1020"
