"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","4103","4103","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","-82","160","09/19/19 13:25:20","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1011.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","4103","NA","NA","NA","1365292","NA","4103","NA","NA","2","legacy","1024","1","48000","-16","experiment","1011","odd","NA","NA","NA","NA","NA","4455","NA","NA","NA","1370350","NA","NA","NA","NA","1390461","NA","NA","NA","NA","1375352","NA","NA","5052","4466","5048","NA","NA","NA","1386356","NA","1385355","NA","NA","New experiment","0","4103","1","yes","1024"
"Practice","undefined","undefined","3527.5","3527.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","-82","160","09/19/19 13:25:20","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1011.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2952","NA","NA","NA","52683","NA","2952","NA","NA","2","legacy","1024","1","48000","-16","experiment","1011","odd","NA","NA","NA","NA","NA","4455","NA","NA","NA","1448435","NA","NA","NA","NA","1467392","NA","NA","NA","NA","1453437","NA","NA","1395749","4466","1395747","NA","NA","NA","1464439","NA","1463439","1390518","NA","New experiment","0","7055","2","yes","1024"
"Practice","undefined","undefined","3438.33333333","3438.33333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","-82","160","09/19/19 13:25:20","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1011.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3260","NA","NA","NA","9595","NA","3260","NA","NA","2","legacy","1024","1","48000","-16","experiment","1011","odd","NA","NA","NA","NA","NA","4455","NA","NA","NA","1482272","NA","NA","NA","NA","1501534","NA","NA","NA","NA","1487273","NA","NA","1472675","4466","1472673","NA","NA","NA","1498274","NA","1497274","1467446","NA","New experiment","0","10315","3","yes","1024"
"Practice","undefined","undefined","3297.75","3297.75","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","-82","160","09/19/19 13:25:20","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1011.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2876","NA","NA","NA","5860","NA","2876","NA","NA","2","legacy","1024","1","48000","-16","experiment","1011","odd","NA","NA","NA","NA","NA","4455","NA","NA","NA","1512636","NA","NA","NA","NA","1531517","NA","NA","NA","NA","1517638","NA","NA","1506774","4466","1506771","NA","NA","NA","1528640","NA","1527639","1501568","NA","New experiment","0","13191","4","yes","1024"
"Practice","undefined","undefined","3597","3597","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","-512","-224","09/19/19 13:25:20","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1011.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","4794","NA","NA","26197","5860","4794","2876","NA","NA","2","legacy","1024","1","48000","-16","experiment","1011","odd","1540308","NA","1582741","NA","NA","4455","NA","1566511","NA","1512636","NA","NA","NA","1588537","1531517","NA","NA","NA","1536594","1517638","1571511","1540311","1506774","4466","1506771","NA","NA","1583742","1528640","NA","1527639","1531577","NA","New experiment","0","17985","5","yes","1024"
"Neutral","undefined","undefined","3688.83333333","3688.83333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","-512","-224","09/19/19 13:25:20","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1011.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","4148","26155","NA","26197","5860","4148","2876","NA","NA","2","legacy","1024","1","48000","-16","experiment","1011","odd","1596408","NA","1687833","NA","NA","4455","NA","1622568","NA","1512636","NA","1596410","NA","1692981","1531517","1588568","NA","1627568","1536594","1517638","1571511","1540311","1506774","4466","1506771","NA","NA","1688833","1528640","NA","1527639","1531577","NA","New experiment","0","22133","6","yes","1024"
"Happy","undefined","undefined","3667.71428571","3667.71428571","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","-512","-225","09/19/19 13:25:20","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1011.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3541","26155","35409","26197","5860","4148","2876","3541","NA","2","legacy","1024","1","48000","-16","experiment","1011","odd","1596408","1704057","1687833","1864692","1698041","4455","NA","1622568","1739473","1512636","1744474","1596410","1704060","1869235","1531517","1693023","NA","1627568","1536594","1517638","1571511","1540311","1506774","4466","1506771","NA","NA","1688833","1528640","1865693","1527639","1531577","NA","New experiment","0","25674","7","yes","1024"
"Sad","undefined","undefined","3609.5","3609.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","-512","-225","09/19/19 13:25:20","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1011.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3202","26155","58536","26197","5860","4148","2876","3202","NA","2","legacy","1024","1","48000","-16","experiment","1011","odd","1596408","1880815","1687833","2076623","1698041","4455","NA","1622568","1939364","1512636","1744474","1596410","1880819","2080829","1531517","1693023","1869281","1627568","1536594","1517638","1571511","1540311","1506774","4466","1506771","NA","1944365","1688833","1528640","2077624","1527639","1531577","NA","New experiment","0","28876","8","yes","1024"
"Fear","undefined","undefined","3564.66666667","3564.66666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","-512","-225","09/19/19 13:25:20","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1011.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3206","26155","112578","26197","5860","4148","2876","3206","NA","2","legacy","1024","1","48000","-16","experiment","1011","odd","1596408","2092718","1687833","2349475","1698041","4455","2210320","1622568","2205317","1512636","1744474","1596410","2092721","2353687","1531517","1693023","2080889","1627568","1536594","1517638","1571511","1540311","1506774","4466","1506771","NA","1944365","1688833","1528640","2350476","1527639","1531577","NA","New experiment","0","32082","9","yes","1024"
"Relaxed","undefined","undefined","3465.3","3465.3","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","-512","-225","09/19/19 13:25:20","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1011.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2571","26155","91581","26197","5860","4148","2876","2571","NA","2","legacy","1024","1","48000","-16","experiment","1011","odd","1596408","2365337","1687833","2655216","1698041","4455","2210320","1622568","2456939","1512636","1744474","1596410","2365340","2658801","1531517","1693023","2353746","1627568","1536594","1517638","1571511","1540311","1506774","4466","1506771","2461943","1944365","1688833","1528640","2656218","1527639","1531577","NA","New experiment","0","34653","10","yes","1024"
