"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","5044","5044","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","402","-230","09/23/19 12:03:49","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1018.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","5044","NA","NA","NA","1039097","NA","5044","NA","NA","2","legacy","1024","1","48000","-16","experiment","1018","even","NA","NA","NA","NA","NA","4618","NA","NA","NA","1044202","NA","NA","NA","NA","1065252","NA","NA","NA","NA","1049204","NA","NA","5100","4626","5097","NA","NA","NA","1060206","NA","1059206","NA","NA","New experiment","0","5044","1","yes","1020"
"Practice","undefined","undefined","4653.5","4653.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","402","-231","09/23/19 12:03:49","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1018.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","4","NA","space","NA","NA","4263","NA","NA","NA","38651","NA","4263","NA","NA","2","legacy","1024","1","48000","-16","experiment","1018","even","NA","NA","NA","NA","NA","4618","NA","NA","NA","1109200","NA","NA","NA","NA","1129466","NA","NA","NA","NA","1114201","NA","NA","1070546","4626","1070543","NA","NA","NA","1125203","NA","1124203","1065313","NA","New experiment","0","9307","2","yes","1020"
"Practice","undefined","undefined","4213.33333333","4213.33333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","391","-296","09/23/19 12:03:49","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1018.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3333","NA","NA","NA","9846","NA","3333","NA","NA","2","legacy","1024","1","48000","-16","experiment","1018","even","NA","NA","NA","NA","NA","4618","NA","NA","NA","1144878","NA","NA","NA","NA","1164215","NA","NA","NA","NA","1149879","NA","NA","1135030","4626","1135028","NA","NA","NA","1160881","NA","1159881","1129802","NA","New experiment","0","12640","3","yes","1020"
"Practice","undefined","undefined","3964.75","3964.75","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","393","-289","09/23/19 12:03:49","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1018.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3219","NA","NA","NA","7527","NA","3219","NA","NA","2","legacy","1024","1","48000","-16","experiment","1018","even","NA","NA","NA","NA","NA","4618","NA","NA","NA","1177004","NA","NA","NA","NA","1196225","NA","NA","NA","NA","1182005","NA","NA","1169474","4626","1169472","NA","NA","NA","1193006","NA","1192006","1164251","NA","New experiment","0","15859","4","yes","1020"
"Practice","undefined","undefined","3919","3919","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","393","-288","09/23/19 12:03:49","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1018.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","3736","NA","NA","25968","7527","3736","3219","NA","NA","2","legacy","1024","1","48000","-16","experiment","1018","even","1205019","NA","1247221","NA","NA","4618","NA","1230992","NA","1177004","NA","NA","NA","1251957","1196225","NA","NA","NA","1201286","1182005","1235992","1205021","1169474","4626","1169472","NA","NA","1248221","1193006","NA","1192006","1196269","NA","New experiment","0","19595","5","yes","1020"
"Neutral","undefined","undefined","3969.83333333","3969.83333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","513","-324","09/23/19 12:03:49","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1018.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","4224","31378","NA","25968","7527","4224","3219","NA","NA","2","legacy","1024","1","48000","-16","experiment","1018","even","1259847","NA","1356492","NA","NA","4618","NA","1291230","NA","1177004","NA","1259849","NA","1361717","1196225","1251991","NA","1296230","1201286","1182005","1235992","1205021","1169474","4626","1169472","NA","NA","1357492","1193006","NA","1192006","1196269","NA","New experiment","0","23819","6","yes","1020"
"Fear","undefined","undefined","3895.57142857","3895.57142857","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","513","-288","09/23/19 12:03:49","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1018.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3450","31378","77413","25968","7527","4224","3219","3450","NA","2","legacy","1024","1","48000","-16","experiment","1018","even","1259847","1373057","1356492","1594603","1366941","4618","1455478","1291230","1450477","1177004","NA","1259849","1373059","1599054","1196225","1361923","NA","1296230","1201286","1182005","1235992","1205021","1169474","4626","1169472","NA","NA","1357492","1193006","1595603","1192006","1196269","NA","New experiment","0","27269","7","yes","1020"
"Sad","undefined","undefined","3859.5","3859.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","512","-282","09/23/19 12:03:49","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1018.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3607","31378","87181","25968","7527","4224","3219","3607","NA","2","legacy","1024","1","48000","-16","experiment","1018","even","1259847","1610472","1356492","1834884","1366941","4618","1455478","1291230","1697661","1177004","NA","1259849","1610475","1839493","1196225","1361923","1599125","1296230","1201286","1182005","1235992","1205021","1169474","4626","1169472","NA","1702661","1357492","1193006","1835884","1192006","1196269","NA","New experiment","0","30876","8","yes","1020"
"Relaxed","undefined","undefined","3800.55555556","3800.55555556","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","513","-93","09/23/19 12:03:49","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1018.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3329","31378","96475","25968","7527","4224","3219","3329","NA","2","legacy","1024","1","48000","-16","experiment","1018","even","1259847","1851825","1356492","2146577","1366941","4618","1455478","1291230","1948311","1177004","NA","1259849","1851828","2150911","1196225","1361923","1839569","1296230","1201286","1182005","1235992","1205021","1169474","4626","1169472","1953312","1702661","1357492","1193006","2147577","1192006","1196269","NA","New experiment","0","34205","9","yes","1020"
"Happy","undefined","undefined","3814.8","3814.8","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","513","-123","09/23/19 12:03:49","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1018.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3943","31378","72516","25968","7527","4224","3219","3943","NA","2","legacy","1024","1","48000","-16","experiment","1018","even","1259847","2162657","1356492","2360417","1366941","4618","1455478","1291230","2235192","1177004","2240196","1259849","2162661","2365376","1196225","1361923","2150991","1296230","1201286","1182005","1235992","1205021","1169474","4626","1169472","1953312","1702661","1357492","1193006","2361419","1192006","1196269","NA","New experiment","0","38148","10","yes","1020"
