"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","4141","4141","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","42","242","09/18/19 16:19:15","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1007.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","4141","NA","NA","NA","1145454","NA","4141","NA","NA","2","legacy","1024","1","48000","-16","experiment","1007","odd","NA","NA","NA","NA","NA","5136","NA","NA","NA","1150905","NA","NA","NA","NA","1171052","NA","NA","NA","NA","1155907","NA","NA","5446","5147","5444","NA","NA","NA","1166909","NA","1165909","NA","NA","New experiment","0","4141","1","yes","1024"
"Practice","undefined","undefined","3633","3633","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","-91","123","09/18/19 16:19:15","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1007.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3125","NA","NA","NA","44552","NA","3125","NA","NA","2","legacy","1024","1","48000","-16","experiment","1007","odd","NA","NA","NA","NA","NA","5136","NA","NA","NA","1220930","NA","NA","NA","NA","1240059","NA","NA","NA","NA","1225931","NA","NA","1176375","5147","1176372","NA","NA","NA","1236933","NA","1235932","1171144","NA","New experiment","0","7266","2","yes","1024"
"Practice","undefined","undefined","3361.66666667","3361.66666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","-98","130","09/18/19 16:19:15","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1007.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2819","NA","NA","NA","5129","NA","2819","NA","NA","2","legacy","1024","1","48000","-16","experiment","1007","odd","NA","NA","NA","NA","NA","5136","NA","NA","NA","1250463","NA","NA","NA","NA","1269284","NA","NA","NA","NA","1255464","NA","NA","1245332","5147","1245330","NA","NA","NA","1266465","NA","1265465","1240103","NA","New experiment","0","10085","3","yes","1024"
"Practice","undefined","undefined","3238","3238","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","-98","130","09/18/19 16:19:15","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1007.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2867","NA","NA","NA","7300","NA","2867","NA","NA","2","legacy","1024","1","48000","-16","experiment","1007","odd","NA","NA","NA","NA","NA","5136","NA","NA","NA","1281830","NA","NA","NA","NA","1300700","NA","NA","NA","NA","1286831","NA","NA","1274527","5147","1274525","NA","NA","NA","1297833","NA","1296832","1269323","NA","New experiment","0","12952","4","yes","1024"
"Practice","undefined","undefined","3367.4","3367.4","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","-98","130","09/18/19 16:19:15","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1007.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","3885","NA","NA","34069","7300","3885","2867","NA","NA","2","legacy","1024","1","48000","-16","experiment","1007","odd","1309474","NA","1359783","NA","NA","5136","NA","1343549","NA","1281830","NA","NA","NA","1364668","1300700","NA","NA","NA","1305747","1286831","1348549","1309477","1274527","5147","1274525","NA","NA","1360783","1297833","NA","1296832","1300730","NA","New experiment","0","16837","5","yes","1024"
"Neutral","undefined","undefined","3304.16666667","3304.16666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","-104","138","09/18/19 16:19:15","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1007.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","2988","27616","NA","34069","7300","2988","2867","NA","NA","2","legacy","1024","1","48000","-16","experiment","1007","odd","1373018","NA","1465904","NA","NA","5136","NA","1400640","NA","1281830","NA","1373021","NA","1469892","1300700","1364697","NA","1405640","1305747","1286831","1348549","1309477","1274527","5147","1274525","NA","NA","1466904","1297833","NA","1296832","1300730","NA","New experiment","0","19825","6","yes","1024"
"Sad","undefined","undefined","3301.28571429","3301.28571429","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","-164","190","09/18/19 16:19:15","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1007.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3284","27616","53170","34069","7300","2988","2867","3284","NA","2","legacy","1024","1","48000","-16","experiment","1007","odd","1373018","1481218","1465904","1671615","1474943","5136","NA","1400640","1534397","1281830","NA","1373021","1481221","1675900","1300700","1469924","NA","1405640","1305747","1286831","1348549","1309477","1274527","5147","1274525","NA","1539398","1466904","1297833","1672615","1296832","1300730","NA","New experiment","0","23109","7","yes","1024"
"Fear","undefined","undefined","3296.375","3296.375","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","-164","189","09/18/19 16:19:15","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1007.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3262","27616","59675","34069","7300","2988","2867","3262","NA","2","legacy","1024","1","48000","-16","experiment","1007","odd","1373018","1687159","1465904","1890973","1474943","5136","1751847","1400640","1746846","1281830","NA","1373021","1687163","1895238","1300700","1469924","1675940","1405640","1305747","1286831","1348549","1309477","1274527","5147","1274525","NA","1539398","1466904","1297833","1891974","1296832","1300730","NA","New experiment","0","26371","8","yes","1024"
"Relaxed","undefined","undefined","3279.66666667","3279.66666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","-164","189","09/18/19 16:19:15","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1007.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3146","27616","76954","34069","7300","2988","2867","3146","NA","2","legacy","1024","1","48000","-16","experiment","1007","odd","1373018","1906709","1465904","2181895","1474943","5136","1751847","1400640","1983674","1281830","NA","1373021","1906712","2186046","1300700","1469924","1895282","1405640","1305747","1286831","1348549","1309477","1274527","5147","1274525","1988675","1539398","1466904","1297833","2182896","1296832","1300730","NA","New experiment","0","29517","9","yes","1024"
"Happy","undefined","undefined","3253.7","3253.7","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","-164","189","09/18/19 16:19:15","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1007.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3020","27616","60664","34069","7300","2988","2867","3020","NA","2","legacy","1024","1","48000","-16","experiment","1007","odd","1373018","2197774","1465904","2383724","1474943","5136","1751847","1400640","2258457","1281830","2263461","1373021","2197776","2387758","1300700","1469924","2186112","1405640","1305747","1286831","1348549","1309477","1274527","5147","1274525","1988675","1539398","1466904","1297833","2384725","1296832","1300730","NA","New experiment","0","32537","10","yes","1024"
