"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","4739","4739","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","58","67","09/16/19 14:44:47","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/subject-1004.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","4739","NA","NA","NA","1602796","NA","4739","NA","NA","2","legacy","1024","1","48000","-16","experiment","1004","even","NA","NA","NA","NA","NA","4080","NA","NA","NA","1607312","NA","NA","NA","NA","1628057","NA","NA","NA","NA","1612314","NA","NA","4511","4090","4509","NA","NA","NA","1623317","NA","1622317","NA","NA","New experiment","0","4739","1","yes","1024"
"Practice","undefined","undefined","4157.5","4157.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","160","143","09/16/19 14:44:47","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/subject-1004.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3576","NA","NA","NA","45643","NA","3576","NA","NA","2","legacy","1024","1","48000","-16","experiment","1004","even","NA","NA","NA","NA","NA","4080","NA","NA","NA","1678994","NA","NA","NA","NA","1698575","NA","NA","NA","NA","1683996","NA","NA","1633348","4090","1633346","NA","NA","NA","1694998","NA","1693998","1628117","NA","New experiment","0","8315","2","yes","1024"
"Practice","undefined","undefined","3794.33333333","3794.33333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","19","74","09/16/19 14:44:47","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/subject-1004.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3068","NA","NA","NA","20207","NA","3068","NA","NA","2","legacy","1024","1","48000","-16","experiment","1004","even","NA","NA","NA","NA","NA","4080","NA","NA","NA","1724061","NA","NA","NA","NA","1743132","NA","NA","NA","NA","1729062","NA","NA","1703852","4090","1703850","NA","NA","NA","1740064","NA","1739064","1698620","NA","New experiment","0","11383","3","yes","1024"
"Practice","undefined","undefined","3683.5","3683.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","19","74","09/16/19 14:44:47","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/subject-1004.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3351","NA","NA","NA","10936","NA","3351","NA","NA","2","legacy","1024","1","48000","-16","experiment","1004","even","NA","NA","NA","NA","NA","4080","NA","NA","NA","1759322","NA","NA","NA","NA","1778677","NA","NA","NA","NA","1764323","NA","NA","1748383","4090","1748381","NA","NA","NA","1775326","NA","1774326","1743160","NA","New experiment","0","14734","4","yes","1024"
"Practice","undefined","undefined","3730.6","3730.6","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","88","-202","09/16/19 14:44:47","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/subject-1004.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","3919","NA","NA","30178","10936","3919","3351","NA","NA","2","legacy","1024","1","48000","-16","experiment","1004","even","1788250","NA","1834664","NA","NA","4080","NA","1818432","NA","1759322","NA","NA","NA","1839583","1778677","NA","NA","NA","1783734","1764323","1823432","1788252","1748383","4090","1748381","NA","NA","1835664","1775326","NA","1774326","1778718","NA","New experiment","0","18653","5","yes","1024"
"Neutral","undefined","undefined","3754.5","3754.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","88","-203","09/16/19 14:44:47","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/subject-1004.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","3874","28246","NA","30178","10936","3874","3351","NA","NA","2","legacy","1024","1","48000","-16","experiment","1004","even","1848496","NA","1942007","NA","NA","4080","NA","1876747","NA","1759322","NA","1848498","NA","1946882","1778677","1839611","NA","1881747","1783734","1764323","1823432","1788252","1748383","4090","1748381","NA","NA","1943007","1775326","NA","1774326","1778718","NA","New experiment","0","22527","6","yes","1024"
"Sad","undefined","undefined","3706","3706","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","102","-257","09/16/19 14:44:47","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/subject-1004.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3415","28246","38634","30178","10936","3874","3351","3415","NA","2","legacy","1024","1","48000","-16","experiment","1004","even","1848496","1959631","1942007","2135487","1951977","4080","NA","1876747","1998273","1759322","NA","1848498","1959634","2139905","1778677","1946960","NA","1881747","1783734","1764323","1823432","1788252","1748383","4090","1748381","NA","2003273","1943007","1775326","2136488","1774326","1778718","NA","New experiment","0","25942","7","yes","1024"
"Relaxed","undefined","undefined","3709.875","3709.875","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","103","-252","09/16/19 14:44:47","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/subject-1004.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3737","28246","112714","30178","10936","3874","3351","3737","NA","2","legacy","1024","1","48000","-16","experiment","1004","even","1848496","2153035","1942007","2463979","1951977","4080","NA","1876747","2265760","1759322","NA","1848498","2153038","2468720","1778677","1946960","2139950","1881747","1783734","1764323","1823432","1788252","1748383","4090","1748381","2270761","2003273","1943007","1775326","2464980","1774326","1778718","NA","New experiment","0","29679","8","yes","1024"
"Fear","undefined","undefined","3685","3685","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","103","-253","09/16/19 14:44:47","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/subject-1004.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3486","28246","111613","30178","10936","3874","3351","3486","NA","2","legacy","1024","1","48000","-16","experiment","1004","even","1848496","2482806","1942007","2738570","1951977","4080","2599442","1876747","2594440","1759322","NA","1848498","2482809","2743061","1778677","1946960","2469113","1881747","1783734","1764323","1823432","1788252","1748383","4090","1748381","2270761","2003273","1943007","1775326","2739570","1774326","1778718","NA","New experiment","0","33165","9","yes","1024"
"Happy","undefined","undefined","3670.7","3670.7","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","103","-253","09/16/19 14:44:47","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/subject-1004.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3542","28246","69289","30178","10936","3874","3351","3542","NA","2","legacy","1024","1","48000","-16","experiment","1004","even","1848496","2756458","1942007","2951029","1951977","4080","2599442","1876747","2825767","1759322","2830772","1848498","2756461","2955584","1778677","1946960","2743112","1881747","1783734","1764323","1823432","1788252","1748383","4090","1748381","2270761","2003273","1943007","1775326","2952030","1774326","1778718","NA","New experiment","0","36707","10","yes","1024"
