"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","3899","3899","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","1","0","09/24/19 17:15:45","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1026.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3899","NA","NA","NA","1310114","NA","3899","NA","NA","2","legacy","1024","1","48000","-16","experiment","1026","even","NA","NA","NA","NA","NA","4848","NA","NA","NA","1315378","NA","NA","NA","NA","1335284","NA","NA","NA","NA","1320380","NA","NA","5256","4856","5251","NA","NA","NA","1331383","NA","1330383","NA","NA","New experiment","0","3899","1","yes","1020"
"Practice","undefined","undefined","3762.5","3762.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","1","0","09/24/19 17:15:45","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1026.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3626","NA","NA","NA","32555","NA","3626","NA","NA","2","legacy","1024","1","48000","-16","experiment","1026","even","NA","NA","NA","NA","NA","4848","NA","NA","NA","1373182","NA","NA","NA","NA","1392812","NA","NA","NA","NA","1378184","NA","NA","1340624","4856","1340622","NA","NA","NA","1389186","NA","1388186","1335393","NA","New experiment","0","7525","2","yes","1020"
"Practice","undefined","undefined","3436.33333333","3436.33333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","-176","-309","09/24/19 17:15:45","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1026.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2784","NA","NA","NA","7650","NA","2784","NA","NA","2","legacy","1024","1","48000","-16","experiment","1026","even","NA","NA","NA","NA","NA","4848","NA","NA","NA","1405750","NA","NA","NA","NA","1424537","NA","NA","NA","NA","1410751","NA","NA","1398098","4856","1398096","NA","NA","NA","1421753","NA","1420752","1392870","NA","New experiment","0","10309","3","yes","1020"
"Practice","undefined","undefined","3356","3356","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","-141","-325","09/24/19 17:15:45","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1026.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3115","NA","NA","NA","10830","NA","3115","NA","NA","2","legacy","1024","1","48000","-16","experiment","1026","even","NA","NA","NA","NA","NA","4848","NA","NA","NA","1440614","NA","NA","NA","NA","1459731","NA","NA","NA","NA","1445615","NA","NA","1429781","4856","1429779","NA","NA","NA","1456616","NA","1455616","1424576","NA","New experiment","0","13424","4","yes","1020"
"Practice","undefined","undefined","3304.2","3304.2","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","-141","-325","09/24/19 17:15:45","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1026.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","3097","NA","NA","33501","10830","3097","3115","NA","NA","2","legacy","1024","1","48000","-16","experiment","1026","even","1468399","NA","1518140","NA","NA","4848","NA","1501905","NA","1440614","NA","NA","NA","1522237","1459731","NA","NA","NA","1464793","1445615","1506905","1468401","1429781","4856","1429779","NA","NA","1519140","1456616","NA","1455616","1459777","NA","New experiment","0","16521","5","yes","1020"
"Neutral","undefined","undefined","3306.83333333","3306.83333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","-141","-325","09/24/19 17:15:45","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1026.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","3320","36532","NA","33501","10830","3320","3115","NA","NA","2","legacy","1024","1","48000","-16","experiment","1026","even","1530153","NA","1631950","NA","NA","4848","NA","1566690","NA","1440614","NA","1530155","NA","1636270","1459731","1522281","NA","1571690","1464793","1445615","1506905","1468401","1429781","4856","1429779","NA","NA","1632950","1456616","NA","1455616","1459777","NA","New experiment","0","19841","6","yes","1020"
"Relaxed","undefined","undefined","3290.42857143","3290.42857143","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","-141","-326","09/24/19 17:15:45","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1026.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3192","36532","34496","33501","10830","3320","3115","3192","NA","2","legacy","1024","1","48000","-16","experiment","1026","even","1530153","1647333","1631950","1880091","1641347","4848","NA","1566690","1681836","1440614","NA","1530155","1647336","1884285","1459731","1636329","NA","1571690","1464793","1445615","1506905","1468401","1429781","4856","1429779","1686836","NA","1632950","1456616","1881091","1455616","1459777","NA","New experiment","0","23033","7","yes","1020"
"Happy","undefined","undefined","3265.125","3265.125","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","-141","-321","09/24/19 17:15:45","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1026.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3088","36532","67221","33501","10830","3320","3115","3088","NA","2","legacy","1024","1","48000","-16","experiment","1026","even","1530153","1895845","1631950","2088302","1641347","4848","NA","1566690","1963078","1440614","1968080","1530155","1895848","2092395","1459731","1636329","1884368","1571690","1464793","1445615","1506905","1468401","1429781","4856","1429779","1686836","NA","1632950","1456616","2089303","1455616","1459777","NA","New experiment","0","26121","8","yes","1020"
"Sad","undefined","undefined","3247.55555556","3247.55555556","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","-141","-321","09/24/19 17:15:45","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1026.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3107","36532","33376","33501","10830","3320","3115","3107","NA","2","legacy","1024","1","48000","-16","experiment","1026","even","1530153","2104146","1631950","2274764","1641347","4848","NA","1566690","2137542","1440614","1968080","1530155","2104150","2278886","1459731","1636329","2092460","1571690","1464793","1445615","1506905","1468401","1429781","4856","1429779","1686836","2142547","1632950","1456616","2275766","1455616","1459777","NA","New experiment","0","29228","9","yes","1020"
"Fear","undefined","undefined","3222","3222","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","-137","-314","09/24/19 17:15:45","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1026.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2992","36532","83494","33501","10830","3320","3115","2992","NA","2","legacy","1024","1","48000","-16","experiment","1026","even","1530153","2290779","1631950","2518416","1641347","4848","2379285","1566690","2374285","1440614","1968080","1530155","2290782","2522421","1459731","1636329","2279008","1571690","1464793","1445615","1506905","1468401","1429781","4856","1429779","1686836","2142547","1632950","1456616","2519418","1455616","1459777","NA","New experiment","0","32220","10","yes","1020"
