"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","4352","4352","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","511","-356","09/24/19 14:16:44","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1024.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","4352","NA","NA","NA","3278914","NA","4352","NA","NA","2","legacy","1024","1","48000","-16","experiment","1024","even","NA","NA","NA","NA","NA","4575","NA","NA","NA","3283900","NA","NA","NA","NA","3304258","NA","NA","NA","NA","3288902","NA","NA","4981","4587","4979","NA","NA","NA","3299905","NA","3298904","NA","NA","New experiment","0","4352","1","yes","1020"
"Practice","undefined","undefined","3927.5","3927.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","511","-356","09/24/19 14:16:44","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1024.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3503","NA","NA","NA","31550","NA","3503","NA","NA","2","legacy","1024","1","48000","-16","experiment","1024","even","NA","NA","NA","NA","NA","4575","NA","NA","NA","3341110","NA","NA","NA","NA","3360617","NA","NA","NA","NA","3346112","NA","NA","3309557","4587","3309555","NA","NA","NA","3357114","NA","3356114","3304330","NA","New experiment","0","7855","2","yes","1020"
"Practice","undefined","undefined","3647","3647","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","511","-356","09/24/19 14:16:44","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1024.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3086","NA","NA","NA","7309","NA","3086","NA","NA","2","legacy","1024","1","48000","-16","experiment","1024","even","NA","NA","NA","NA","NA","4575","NA","NA","NA","3373204","NA","NA","NA","NA","3392295","NA","NA","NA","NA","3378206","NA","NA","3365892","4587","3365890","NA","NA","NA","3389208","NA","3388207","3360665","NA","New experiment","0","10941","3","yes","1020"
"Practice","undefined","undefined","3490.75","3490.75","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","511","-356","09/24/19 14:16:44","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1024.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","3022","NA","NA","NA","13436","NA","3022","NA","NA","2","legacy","1024","1","48000","-16","experiment","1024","even","NA","NA","NA","NA","NA","4575","NA","NA","NA","3410972","NA","NA","NA","NA","3429999","NA","NA","NA","NA","3415974","NA","NA","3397534","4587","3397531","NA","NA","NA","3426976","NA","3425976","3392330","NA","New experiment","0","13963","4","yes","1020"
"Practice","undefined","undefined","3567.2","3567.2","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","511","-356","09/24/19 14:16:44","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1024.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","3873","NA","NA","39582","13436","3873","3022","NA","NA","2","legacy","1024","1","48000","-16","experiment","1024","even","3438699","NA","3494515","NA","NA","4575","NA","3478285","NA","3410972","NA","NA","NA","3499388","3429999","NA","NA","NA","3435063","3415974","3483285","3438701","3397534","4587","3397531","NA","NA","3495515","3426976","NA","3425976","3430047","NA","New experiment","0","17836","5","yes","1020"
"Neutral","undefined","undefined","3445.16666667","3445.16666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","503","-320","09/24/19 14:16:44","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1024.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","2835","36468","NA","39582","13436","2835","3022","NA","NA","2","legacy","1024","1","48000","-16","experiment","1024","even","3507287","NA","3609025","NA","NA","4575","NA","3543760","NA","3410972","NA","3507289","NA","3612862","3429999","3499455","NA","3548760","3435063","3415974","3483285","3438701","3397534","4587","3397531","NA","NA","3610026","3426976","NA","3425976","3430047","NA","New experiment","0","20671","6","yes","1020"
"Relaxed","undefined","undefined","3399","3399","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","503","-320","09/24/19 14:16:44","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1024.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3122","36468","47431","39582","13436","2835","3022","3122","NA","2","legacy","1024","1","48000","-16","experiment","1024","even","3507287","3624079","3609025","3869736","3617949","4575","NA","3543760","3671518","3410972","NA","3507289","3624082","3873860","3429999","3612931","NA","3548760","3435063","3415974","3483285","3438701","3397534","4587","3397531","3676518","NA","3610026","3426976","3870737","3425976","3430047","NA","New experiment","0","23793","7","yes","1020"
"Sad","undefined","undefined","3375.75","3375.75","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","503","-320","09/24/19 14:16:44","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1024.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3213","36468","76951","39582","13436","2835","3022","3213","NA","2","legacy","1024","1","48000","-16","experiment","1024","even","3507287","3885470","3609025","4099688","3617949","4575","NA","3543760","3962430","3410972","NA","3507289","3885472","4103906","3429999","3612931","3873952","3548760","3435063","3415974","3483285","3438701","3397534","4587","3397531","3676518","3967431","3610026","3426976","4100689","3425976","3430047","NA","New experiment","0","27006","8","yes","1020"
"Happy","undefined","undefined","3350.66666667","3350.66666667","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","507","-319","09/24/19 14:16:44","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1024.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","3150","36468","76307","39582","13436","2835","3022","3150","NA","2","legacy","1024","1","48000","-16","experiment","1024","even","3507287","4115520","3609025","4317071","3617949","4575","NA","3543760","4191845","3410972","4196849","3507289","4115523","4321232","3429999","3612931","4103987","3548760","3435063","3415974","3483285","3438701","3397534","4587","3397531","3676518","3967431","3610026","3426976","4318072","3425976","3430047","NA","New experiment","0","30156","9","yes","1020"
"Fear","undefined","undefined","3295.8","3295.8","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","-3","48","09/24/19 14:16:44","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1024.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2802","36468","87050","39582","13436","2835","3022","2802","NA","2","legacy","1024","1","48000","-16","experiment","1024","even","3507287","4333453","3609025","4564650","3617949","4575","4425518","3543760","4420516","3410972","4196849","3507289","4333456","4568465","3429999","3612931","4321364","3548760","3435063","3415974","3483285","3438701","3397534","4587","3397531","3676518","3967431","3610026","3426976","4565651","3425976","3430047","NA","New experiment","0","32958","10","yes","1020"
