"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","4431","4431","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","117","273","09/23/19 14:00:12","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/Codes/subject-1019.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","4431","NA","NA","NA","994543","NA","4431","NA","NA","2","legacy","1024","1","48000","-16","experiment","1019","odd","NA","NA","NA","NA","NA","4482","NA","NA","NA","999466","NA","NA","NA","NA","1019904","NA","NA","NA","NA","1004468","NA","NA","4918","4489","4913","NA","NA","NA","1015471","NA","1014470","NA","NA","New experiment","0","4431","1","yes","1020"
"Practice","undefined","undefined","3651.5","3651.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","117","273","09/23/19 14:00:12","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/Codes/subject-1019.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2872","NA","NA","NA","37536","NA","2872","NA","NA","2","legacy","1024","1","48000","-16","experiment","1019","odd","NA","NA","NA","NA","NA","4482","NA","NA","NA","1062780","NA","NA","NA","NA","1081656","NA","NA","NA","NA","1067782","NA","NA","1025241","4489","1025239","NA","NA","NA","1078784","NA","1077784","1020006","NA","New experiment","0","7303","2","yes","1020"
"Practice","undefined","undefined","3361.33333333","3361.33333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","118","273","09/23/19 14:00:12","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/Codes/subject-1019.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2781","NA","NA","NA","9709","NA","2781","NA","NA","2","legacy","1024","1","48000","-16","experiment","1019","odd","NA","NA","NA","NA","NA","4482","NA","NA","NA","1096669","NA","NA","NA","NA","1115454","NA","NA","NA","NA","1101671","NA","NA","1086958","4489","1086956","NA","NA","NA","1112672","NA","1111672","1081723","NA","New experiment","0","10084","3","yes","1020"
"Practice","undefined","undefined","3214.25","3214.25","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","117","277","09/23/19 14:00:12","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1019.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2773","NA","NA","NA","6328","NA","2773","NA","NA","2","legacy","1024","1","48000","-16","experiment","1019","odd","NA","NA","NA","NA","NA","4482","NA","NA","NA","1127087","NA","NA","NA","NA","1145864","NA","NA","NA","NA","1132089","NA","NA","1120757","4489","1120755","NA","NA","NA","1143090","NA","1142090","1115526","NA","New experiment","0","12857","4","yes","1020"
"Practice","undefined","undefined","3190.2","3190.2","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","117","277","09/23/19 14:00:12","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1019.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","3094","NA","NA","21389","6328","3094","2773","NA","NA","2","legacy","1024","1","48000","-16","experiment","1019","odd","1154740","NA","1192366","NA","NA","4482","NA","1176134","NA","1127087","NA","NA","NA","1196460","1145864","NA","NA","NA","1150968","1132089","1181134","1154742","1120757","4489","1120755","NA","NA","1193366","1143090","NA","1142090","1145953","NA","New experiment","0","15951","5","yes","1020"
"Neutral","undefined","undefined","3109.5","3109.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","117","277","09/23/19 14:00:12","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1019.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","2706","29260","NA","21389","6328","2706","2773","NA","NA","2","legacy","1024","1","48000","-16","experiment","1019","odd","1204400","NA","1298928","NA","NA","4482","NA","1233666","NA","1127087","NA","1204403","NA","1302635","1145864","1196546","NA","1238666","1150968","1132089","1181134","1154742","1120757","4489","1120755","NA","NA","1299928","1143090","NA","1142090","1145953","NA","New experiment","0","18657","6","yes","1020"
"Sad","undefined","undefined","3070.28571429","3070.28571429","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","117","277","09/23/19 14:00:12","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/Codes/subject-1019.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2835","29260","23311","21389","6328","2706","2773","2835","NA","2","legacy","1024","1","48000","-16","experiment","1019","odd","1204400","1314695","1298928","1475237","1307823","4482","NA","1233666","1338014","1127087","NA","1204403","1314697","1479074","1145864","1302804","NA","1238666","1150968","1132089","1181134","1154742","1120757","4489","1120755","NA","1343014","1299928","1143090","1476237","1142090","1145953","NA","New experiment","0","21492","7","yes","1020"
"Fear","undefined","undefined","3027.625","3027.625","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","117","277","09/23/19 14:00:12","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/Codes/subject-1019.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2729","29260","93541","21389","6328","2706","2773","2729","NA","2","legacy","1024","1","48000","-16","experiment","1019","odd","1204400","1491306","1298928","1729000","1307823","4482","1589859","1233666","1584859","1127087","NA","1204403","1491309","1732731","1145864","1302804","1479130","1238666","1150968","1132089","1181134","1154742","1120757","4489","1120755","NA","1343014","1299928","1143090","1730000","1142090","1145953","NA","New experiment","0","24221","8","yes","1020"
"Relaxed","undefined","undefined","2982.44444444","2982.44444444","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","117","277","09/23/19 14:00:12","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/Codes/subject-1019.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2621","29260","68061","21389","6328","2706","2773","2621","NA","2","legacy","1024","1","48000","-16","experiment","1019","odd","1204400","1744505","1298928","2010809","1307823","4482","1589859","1233666","1812579","1127087","NA","1204403","1744508","2014436","1145864","1302804","1732895","1238666","1150968","1132089","1181134","1154742","1120757","4489","1120755","1817580","1343014","1299928","1143090","2011810","1142090","1145953","NA","New experiment","0","26842","9","yes","1020"
"Happy","undefined","undefined","2941.1","2941.1","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","117","277","09/23/19 14:00:12","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates\Codes","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/Codes/subject-1019.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2569","29260","51815","21389","6328","2706","2773","2569","NA","2","legacy","1024","1","48000","-16","experiment","1019","odd","1204400","2026474","1298928","2203532","1307823","4482","1589859","1233666","2078311","1127087","2083314","1204403","2026478","2207115","1145864","1302804","2014839","1238666","1150968","1132089","1181134","1154742","1120757","4489","1120755","1817580","1343014","1299928","1143090","2204534","1142090","1145953","NA","New experiment","0","29411","10","yes","1020"
