"Emotion","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_practice_instruct_1","correct_space_cont","correct_space_cont2","correct_space_cont_1","count_block_sequence","count_block_sequence_1","count_end_of_movie","count_end_of_movie_1","count_exp_loop","count_experiment","count_fear","count_fixation","count_fixation_1","count_fixation_2","count_happy","count_instruction","count_instruction_1","count_log1","count_log1_1","count_mini_instruction_2","count_mini_instruction_2_2","count_neutral","count_neutral_loop","count_new_sketchpad","count_practice","count_practice_instruct","count_practice_instruct_1","count_practice_loop","count_practice_seq","count_relaxed","count_sad","count_space_cont","count_space_cont2","count_space_cont_1","count_stationA","count_stationB","count_thanks","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","emo_code","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instruction","response_instruction_1","response_practice_instruct","response_practice_instruct_1","response_space_cont","response_space_cont2","response_space_cont_1","response_thanks","response_time","response_time_instruction","response_time_instruction_1","response_time_practice_instruct","response_time_practice_instruct_1","response_time_space_cont","response_time_space_cont2","response_time_space_cont_1","response_time_thanks","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_sequence","time_block_sequence_1","time_end_of_movie","time_end_of_movie_1","time_exp_loop","time_experiment","time_fear","time_fixation","time_fixation_1","time_fixation_2","time_happy","time_instruction","time_instruction_1","time_log1","time_log1_1","time_mini_instruction_2","time_mini_instruction_2_2","time_neutral","time_neutral_loop","time_new_sketchpad","time_practice","time_practice_instruct","time_practice_instruct_1","time_practice_loop","time_practice_seq","time_relaxed","time_sad","time_space_cont","time_space_cont2","time_space_cont_1","time_stationA","time_stationB","time_thanks","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Practice","undefined","undefined","4230","4230","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","0","NA","0","0","0","undefined","-507","-214","09/16/19 13:26:57","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","G:/Socrates/subject-1003.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","4230","NA","NA","NA","55982","NA","4230","NA","NA","2","legacy","1024","1","48000","-16","experiment","1003","odd","NA","NA","NA","NA","NA","9030","NA","NA","NA","66531","NA","NA","NA","NA","86769","NA","NA","NA","NA","71535","NA","NA","10546","9065","10543","NA","NA","NA","82537","NA","81537","NA","NA","New experiment","0","4230","1","yes","1024"
"Practice","undefined","undefined","3488.5","3488.5","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","0","1","NA","NA","1","0","1","NA","NA","NA","1","NA","1","1","0","undefined","-321","-283","09/16/19 13:26:57","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","G:/Socrates/subject-1003.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2747","NA","NA","NA","66939","NA","2747","NA","NA","2","legacy","1024","1","48000","-16","experiment","1003","odd","NA","NA","NA","NA","NA","9030","NA","NA","NA","159014","NA","NA","NA","NA","177766","NA","NA","NA","NA","164016","NA","NA","92072","9065","92069","NA","NA","NA","175018","NA","174018","86839","NA","New experiment","0","6977","2","yes","1024"
"Practice","undefined","undefined","3193","3193","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","NA","0","2","NA","NA","2","0","2","NA","NA","NA","2","NA","2","2","0","undefined","-240","-172","09/16/19 13:26:57","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","G:/Socrates/subject-1003.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2602","NA","NA","NA","17271","NA","2602","NA","NA","2","legacy","1024","1","48000","-16","experiment","1003","odd","NA","NA","NA","NA","NA","9030","NA","NA","NA","200349","NA","NA","NA","NA","218954","NA","NA","NA","NA","205350","NA","NA","183076","9065","183074","NA","NA","NA","216351","NA","215351","177811","NA","New experiment","0","9579","3","yes","1024"
"Practice","undefined","undefined","2984.75","2984.75","black","legacy","legacy","legacy","0","uniform","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","0","0","NA","NA","NA","3","NA","NA","NA","NA","3","NA","NA","NA","0","3","NA","NA","3","0","3","NA","NA","NA","3","NA","3","3","0","undefined","-225","-243","09/16/19 13:26:57","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/subject-1003.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","NA","1","NA","space","NA","NA","2360","NA","NA","NA","6898","NA","2360","NA","NA","2","legacy","1024","1","48000","-16","experiment","1003","odd","NA","NA","NA","NA","NA","9030","NA","NA","NA","231107","NA","NA","NA","NA","249469","NA","NA","NA","NA","236108","NA","NA","224207","9065","224205","NA","NA","NA","247109","NA","246109","218986","NA","New experiment","0","11939","4","yes","1024"
"Practice","undefined","undefined","2976","2976","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","0","NA","0","NA","0","0","NA","0","NA","3","NA","0","NA","0","3","0","NA","0","0","3","0","0","3","0","3","NA","NA","0","3","NA","3","3","0","undefined","-349","-180","09/16/19 13:26:57","The main experiment item","yes","-1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/subject-1003.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","NA","NA","1","1","space","space","NA","NA","2941","NA","NA","26865","6898","2941","2360","NA","NA","2","legacy","1024","1","48000","-16","experiment","1003","odd","260264","NA","303363","NA","NA","9030","NA","287133","NA","231107","NA","NA","NA","307305","249469","NA","NA","NA","254520","236108","292133","260266","224207","9065","224205","NA","NA","304363","247109","NA","246109","249505","NA","New experiment","0","14880","5","yes","1024"
"Neutral","undefined","undefined","2974.33333333","2974.33333333","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","NA","1","NA","1","NA","0","0","NA","1","NA","3","NA","1","NA","1","3","1","NA","1","0","3","1","1","3","0","3","NA","NA","1","3","NA","3","3","0","undefined","-348","-181","09/16/19 13:26:57","The main experiment item","yes","0","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/subject-1003.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","NA","1","1","space","space","NA","NA","2966","28343","NA","26865","6898","2966","2360","NA","NA","2","legacy","1024","1","48000","-16","experiment","1003","odd","315704","NA","409314","NA","NA","9030","NA","344051","NA","231107","NA","315706","NA","413281","249469","307353","NA","349051","254520","236108","292133","260266","224207","9065","224205","NA","NA","410314","247109","NA","246109","249505","NA","New experiment","0","17846","6","yes","1024"
"Happy","undefined","undefined","2967.42857143","2967.42857143","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","0","1","0","0","0","0","1","0","3","0","1","0","2","3","1","0","1","0","3","1","1","3","0","3","0","0","1","3","0","3","3","0","undefined","-223","-384","09/16/19 13:26:57","The main experiment item","yes","1","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","3","G:/Socrates/subject-1003.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2926","28343","44515","26865","6898","2966","2360","2926","NA","2","legacy","1024","1","48000","-16","experiment","1003","odd","315704","425447","409314","595198","418327","9030","NA","344051","469970","231107","474970","315706","425450","599125","249469","413310","NA","349051","254520","236108","292133","260266","224207","9065","224205","NA","NA","410314","247109","596198","246109","249505","NA","New experiment","0","20772","7","yes","1024"
"Fear","undefined","undefined","2947.125","2947.125","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","1","1","1","0","0","1","1","1","3","1","1","1","3","3","1","1","1","0","3","1","1","3","0","3","1","1","1","3","1","3","3","0","undefined","-223","-384","09/16/19 13:26:57","The main experiment item","yes","2","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","3","G:/Socrates/subject-1003.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2805","28343","83699","26865","6898","2966","2360","2805","NA","2","legacy","1024","1","48000","-16","experiment","1003","odd","315704","611846","409314","839725","418327","9030","700556","344051","695556","231107","474970","315706","611848","843533","249469","413310","599194","349051","254520","236108","292133","260266","224207","9065","224205","NA","NA","410314","247109","840726","246109","249505","NA","New experiment","0","23577","8","yes","1024"
"Sad","undefined","undefined","2937.55555556","2937.55555556","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","2","1","2","0","0","2","1","2","3","2","1","2","4","3","1","2","1","0","3","1","1","3","0","3","2","2","1","3","2","3","3","0","undefined","-142","-252","09/16/19 13:26:57","The main experiment item","yes","4","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","3","G:/Socrates/subject-1003.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2861","28343","127306","26865","6898","2966","2360","2861","NA","2","legacy","1024","1","48000","-16","experiment","1003","odd","315704","856454","409314","1121026","418327","9030","700556","344051","983769","231107","474970","315706","856456","1124891","249469","413310","843570","349051","254520","236108","292133","260266","224207","9065","224205","NA","988770","410314","247109","1122026","246109","249505","NA","New experiment","0","26438","9","yes","1024"
"Relaxed","undefined","undefined","2900.7","2900.7","black","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","undefined","1","3","1","3","0","0","3","1","3","3","3","1","3","5","3","1","3","1","0","3","1","1","3","0","3","3","3","1","3","3","3","3","0","undefined","-142","-253","09/16/19 13:26:57","The main experiment item","yes","3","emo_and_motion_exp.osexp","G:\Socrates","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","G:/Socrates/subject-1003.csv","legacy","Kafkaesque Koffka","3.2.6","0","space","1","1","1","1","space","space","space","NA","2569","28343","41917","26865","6898","2966","2360","2569","NA","2","legacy","1024","1","48000","-16","experiment","1003","odd","315704","1137864","409314","1378026","418327","9030","700556","344051","1179800","231107","474970","315706","1137866","1381608","249469","413310","1124950","349051","254520","236108","292133","260266","224207","9065","224205","1184803","988770","410314","247109","1379027","246109","249505","NA","New experiment","0","29007","10","yes","1024"
